"REPORT_NUMBER"	"REPORT_RECEIVED_DATE"	"NAME"	"SIGNIFICANT"	"LOCATION_LATITUDE"	"LOCATION_LONGITUDE"	"NARRATIVE"
20100011	"3/24/2010"	"ENBRIDGE PIPELINES (NORTH DAKOTA) LLC"	"NO"	47.68857	-95.41732	"DURING A DELIVERY TO ENBRIDGE, INC. AT CLEARBROOK, MINNESOTA, IT IS SUSPECTED THE EDMONTON CONTROL CENTRE OPERATOR INADVERTENTLY TRANSITIONED A DELIVERY VALVE WHICH INCREASED EPND'S DELIVERY PRESSURE SUCH THAT THE RELIEF SYSTEM ACTIVATED AND ALSO ACTIVATED THERMAL RELIEFS WHICH OVERFILLED THE ONSITE SUMP.  OIL WAS RELEASED THROUGH THE VENT ON THE SUMP AS WELL AS BACK FLOW IN METER BUILDING DRAIN SYSTEM.  ESTIMATED VOLUME OUT IS THREE (3) BARRELS. RELEASED OIL WAS RECOVERED/REMOVED IN CONTAMINATED SOIL WHICH WAS HAULED TO AN APPROVED DISPOSAL SITE."
20100012	"3/30/2010"	"COLONIAL PIPELINE CO"	"NO"	30.16801	-93.34001	"AT APPROXIMATELY 5:30 A.M. CST ON THE MORNING OF MARCH 4, 2010, A LAKE CHARLES STATION OPERATOR ARRIVED AT THE LINE 1 DYNATROL UPSTREAM OF LAKE CHARLES STATION TO ISOLATE THE SYSTEM IN PREPARATION OF A PIG PASSAGE.  AS HE WAS TURNING OFF HIS VEHICLE, THE OPERATOR SMELLED GASOLINE, NOTICED A FOG ALONG THE GROUND AND HEARD A HISSING NOISE.  FURTHER INSPECTION REVEALED PUDDLES OF GASOLINE IN THE AREA AND THE DYNATROL AND SLAB WERE COVERED WITH ICE AND THERE WERE VAPOR CLOUDS OF GASOLINE.  THE OPERATOR MOVED AWAY FROM THE AREA AND CONTACTED THE CONTROL CENTER TO HAVE THE LINE SHUTDOWN. THE CONTROLLER BLOCKED THE LINE UPSTREAM AND PULLED THE LINE FLAT WITH A DOWNSTREAM STATION.  THE OPERATOR NOTIFIED THE OPERATIONS MANAGER AT 5:37 A.M. CST AND THE OPERATIONS MANAGER NOTIFIED THE DIRECTOR OF OPERATIONS AT APPROXIMATELY 5:47 A.M. CST.  THE STATE OF LOUISIANA AND LOCAL PARISH NOTIFICATIONS WERE MADE AT 7:00 AND 7:25 A.M. CST. AFTER THE LINE WAS SHUTDOWN, THE OPERATOR AND A LOCAL CONTRACTOR ISOLATED THE DYNATROL SITE BY CLOSING 1/2 inch VALVES ON EITHER SIDE OF THE SYSTEM.  SHORTLY AFTERWARDS, THE CONTROL CENTER WAS INFORMED THAT THE AREA HAD BEEN ISOLATED AND IT WAS OK TO RETURN THE LINE TO OPERATIONS. AN ASSESSMENT OF THE AREA SHOWED THAT GASOLINE HAD SETTLED ON POOLED RAIN WATER ALONG A SHARED ROW COVERING AN AREA APPROXIMATELY 200' X 50'. SOME WATER AND GASOLINE HAD LEFT THE ROW VIA A LOW LYING AREA AND WAS ISOLATED IN A DEPRESSION IN A WOODED AREA JUST SOUTH OF THE ROW.  CONTRACT CREWS ARRIVED WITHIN AN HOUR AND BEGAN THE RECOVERY AND CLEAN-UP PROCESS. APPROXIMATELY, 6.5 BBLS OF FREE PRODUCT WERE RECOVERED AND IT WAS CALCULATED THAT AN ESTIMATED .8 BBLS EVAPORATED DURING THE RELEASE AND RECOVERY PROCESS. OVER THE NEXT SEVERAL DAYS APPROXIMATELY 100 CUBIC YARDS OF CONTAMINATED SOIL WERE REMOVED AND REPLACED WITH CLEAN SOIL. THE LABORATORY ANALYSIS OF THE CONTAMINATED SOIL DETERMINED THERE WERE 24.62 GALLONS OF PRODUCT CONTAINED IN THE CONTAMINATED SOIL, BRINGING THE TOTAL VOLUME RELEASED TO 7.88 BARRELS.  THE FINAL COST ESTIMATE OF $65,000 TRIGGERED AN NRC NOTIFICATION MADE ON 7-1-10.  (SUBMITTAL OF THIS FINAL REPORT WAS DELAYED BY APPROXIMATELY ONE WEEK DUE TO INABILITY TO LOGIN TO THE PHMSA ON-LINE SYSTEM.)"
20100013	"3/31/2010"	"SINCLAIR TRANSPORTATION COMPANY"	"YES"	39.36359	-93.45965	""
20100014	"3/31/2010"	"MID - VALLEY PIPELINE CO"	"YES"	32.48325	-94.83034	"LION OIL CALLED SUNOCO CONTROL ROOM TO INITIATE A DELIVERY TO MID-VALLEY PIPELINE AT LONGVIEW STATION.  SUNOCO CONTROL CENTER ADVISED LION THAT WHEN MVPL PERSONNEL COMPLETED THE LINE UP FOR DELIVERY, SUNOCO CC WOULD ADVISE LION TO START DELIVERY. LION APPEARS TO HAVE STARTED ACTIONS FOR THE DELIVERY PRIOR TO BEING NOTIFIED BY SUNOCO CC THAT LINE UP WAS COMPLETE.  THIS RESULTED IN A HIGHER THAN NORMAL LINE PRESSURE AT THE LONGVIEW STATION MANIFOLD YET THE PRESSURE WAS WITHIN THE DESIGN LIMITS.  THIS HIGHER PRESSURE APPEARS TO HAVE CAUSED THE FAILURE AT THE POINT WHERE INTERNAL CORROSION HAD OCCURRED.  RE-SUBMITTED ON 3/19/2013 TO INCLUDE PART E5F PER PHMSA REQUEST."
20100015	"3/31/2010"	"EXXONMOBIL PIPELINE CO"	"NO"	30.17319	-90.78774	"AT APPROXIMATELY 2300 A HIGH TEMPERATURE ALARM, SEAL FAIL AND A HYDROCARBON RELEASE ALARM WERE ACTIVATED SHUTING DOWN THE SORRENTO DOME PROPYLENE PUMP 1250. INVESTIGATIONS DETERNINED:  P-1250 OUTBOARD SEAL HAD A PIECE OF THE GLAND APPROXIMATELY 1 ﾼ﾿ BREAK OFF.  POSSIBLE STRUCTURAL INTEGRITY DEFECT (WRINKLE BEND OR MALFORMATION OF THE TUNGSTEN STEEL) FROM THE MANUFACTURER OR EXCESSIVE TEMPERATURE (VERIFIED BY HIGH TEMP ALARM) FROM SEAL FAILURE.  ENGINEERING DETERMINED THAT APPROXIMATELY 13 GALS OR 56 LBS OF CHEMICAL GRADE PROPYLENE WAS RELEASED.   THE PUMP'S OUTBOARD SEAL AND BEARINGS WERE REPLACED THE ON 03/05/2010."
20100016	"4/1/2010"	"ONEOK NGL PIPELINE LP"	"YES"	38.6707	-97.78123	"PIPELINE CONTROL NOTIFIED OUR FACILITY THAT THE BATCH WAS COMPLETED. FACILITY PERSONNEL SHUT VALVE ON PIPELINE BEFORE PRESSURE WAS REDUCED. THIS CAUSED UPSTREAM PRESSURE RELIEF VALVE TO RELIEVE."
20100017	"4/1/2010"	"LOOP INC"	"YES"	29.47	-90.25444	"THE SUMP AT THE LOOP LLC CLOVELLY DOME STORAGE TERMINAL INJECTION STATION OVERFLOWED WHEN A VALVE ON A 6-INCH DRAIN LINE ALLOWED FLOW BACK INTO THE SUMP AT A RATE TOO HIGH FOR THE PUMPS TO MAINTAIN. THE PRELIMINARY INVESTIGATION INDICATES THAT THE VALVE MAY NOT HAVE SEATED PROPERLY WHEN LAST OPERATED AND THAT THIS MALFUNCTION WAS NOT DETECHED AT THE TIME DUE TO SEDIMENT BUILDUP IN THE DRAIN LINE AS IT IS RARELY USED. IT IS THOUGHT THAT THE SEDIMENT BLOCKAGE BROKE LOOSE ALLOWING OIL TO FLOW INTO THE SUMP THROUGH THE PARTIALLY OPENED VALVE. AN INVESTIGATION TEAM HAS BEEN COMMISSIONED TO CONDUCT A MORE THOROUGH CASUAL ANALYSIS OF THE ACCIDENT. THE INVESTIGATION TEAM COMPLETED THE CAUSAL ANALYSIS REFERENCED ABOVE AND CONCURRED THAT THE PRIMARY CAUSE OF THE SPILL WAS THE SEDIMENT BUILDUP BREAKING LOOSE ALLOWING OIL TO FLOW THROUGH THE IMPROPERLY SEATED VALVE INTO THE SUMP."
20100018	"4/1/2010"	"SHELL PIPELINE CO., L.P."	"NO"	29.8916	-93.9897	"A CRACK WAS DETECTED IN THE LAP WELD IN PROXIMITY TO THE FLOATING ROOF BEARING PLATE.  FURTHER METALLURGICAL INVESTIGATION REVEALED THE THROAT THICKNESS OF THE LAP WELD AREA WAS NOT SUFFICIENT.  THE COMBINED STRESSES AS A RESULT OF THE BEARING FORCES AND POSSIBLY HISTORICAL FATIGUE LOADING OF THE FLOATING ROOF BEING LANDED ON THE BEARING PLATE ARE CONSIDERED AS THE MAIN FACTORS LEADING TO THE FAILURE.  CORRECTIVE ACTION:  THE FLOOR PLATE WHICH INCLUDED THE LAP WELD AND BEARING PLATE WAS CUT OUT.  THE REPAIRED AREA COMPLIED WITH API 653 FOR BEARING PLATE AND WELD DIMENSIONS. ACTUAL CAUSE SHOULD BE G-5 MATERIAL/WELD FAILURE.  (TANK FLOOR WELD CRACK)  THE ON-LINE SYSTEM WOULD NOT ALLOW G-5 TO BE COMPLETED FOR A TANK WELD FAILURE. 3/13/2013 - UPDATED E5F PER PHMSA REQUEST."
20100019	"4/1/2010"	"TEPPCO CRUDE PIPELINE, LLC"	"NO"	32.652	-103.1393	"TECHNICIAN FOUND SEAL GLAND LEAKING DURING THE MORNING INSPECTION.  THE PUMP WAS INACTIVE AT THE TIME OF THE SPILLS.  THE SITE WAS CLEANED UP."
20100020	"4/2/2010"	"ENTERPRISE PRODUCTS OPERATING LLC"	"NO"	28.10406	-90.79238	"SHIP SHOAL 332 B:  -CRUDE OIL PUMP, TURBINE ENGINE ALARM SHUT DOWN UNIT NUMBER 3.  -LOCAL OPERATER FOUND 1/2 INCH NIPPLE BROKEN ON RECYCLE LINE.  -CRUDE OIL RELEASED ON PLATFORM DECK AND OVERBOARD.  -REPARIED BROKEN NIPPLE AND RETURNED NUMBER 3 CRUDE PUMP UNIT BACK TO SERVICE.  -UPDATED PART E, QUESTION 5F ON APRIL 1, 2013."
20100021	"4/2/2010"	"ENBRIDGE ENERGY, LIMITED PARTNERSHIP"	"YES"	48.99555	-97.52554	"ON JANUARY 8, 2010 AT 23:38 LOCAL TIME, THE ENBRIDGE CONTROL CENTRE NOTICED A SUDDEN DROP IN PRESSURE ON LINE 2 AND IMMEDIATELY SHUT THE  PIPELINE DOWN. ENBRIDGE SUPERIOR REGION OPERATIONS AND CENTRAL REGION OPERATIONS (CANADA) WERE NOTIFIED AND DISPATCHED. UPON ARRIVAL,  COMPANY PERSONNEL DISCOVERED A LEAK ESTIMATED AT APPROXIMATELY 3,000 BARRELS CONTAINED PRIMARILY TO THE COMPANY RIGHT-OF-WAY. ADDITIONAL  COMPANY RESOURCES WERE IMMEDIATELY DISPATCHED TO CONTROL AND CLEAN-UP THE RELEASED OIL, INVESTIGATE THE CAUSE OF THE RELEASE AND TO REPAIR  THE PIPELINE FOR RETUM TO SERVICE. THE NATIONAL RESPONSE CENTER AND NORTH DAKOTA STATE INCIDENT REPORTING HOTLINES WERE CONTACTED. THE PRELIMINARY CAUSE OF THE PIPELINE RUPTURE WAS A FAILURE IN A SECTION OF THE LONGITUDINAL SEAM OF THE PIPE. THE AFFECTED PIPE SEGMENT WAS  REMOVED DURING THE REPAIR AND HAS BEEN SENT TO A THIRD-PARTY METALLURGICAL  LAB FOR ANALYSIS. THE PIPELINE WAS REPAIRED AND WAS RESTARTED ON  JANUARY 13, 2010 AT APPROXIMATELY 09:17 LOCAL  TIME. SITE DEAN-UP (SOIL EXCAVATION) IS CURRENTLY STILL  BEING COMPLETED; HOWEVER NO LONG TERM  REMEDIATION ACTIVITIES ARE EXPECTED. A PHMSA REPRESENTATIVE WAS ONSITE DURING THE EMERGENCY RESPONSE AND REPAIR ACTIVITIES AND WAS INVOLVED WITH THE RETUM TO SERVICE PLAN.  ENBRIDGE WILL BE WORKING WITHPHMSA DURING THE INVESTIGATION AND WILL BE SHARING THE RESULTS OF THE INVESTIGATION/FAILURE ANALYSIS. SUPPLEMENTAL/FINAL REPORT (UPDATE AS OF APRIL 1,, 2011. THE METALLURGICAL INVESTIGATION THAT WAS CONDUCTED CONCLUDED THAT THE FAILURE WAS THE RESULT OF A FATIGUE CRACK THAT INITIATED AT A LOCATION ALONG THE FLASH WELDED SEAM, FROM THE INSIDE PIPE DIAMETER. THE INVESTIGATION REVEALED NO PRE-EXISTING WELDING OR PIPE BODY DEFECTS, OR MATERIAL PROPERTY DEFICIENCIES THAT COULD HAVE CONTRIBUTED TO CRACK INITIATION, CRACK GROWTH, OR FINAL FAILURE.  WELD MISALIGNMENT AND PEAKING WERE OBSERVED AT THE INITIATION LOCATION.  THE CRACK GREW IN SERVICE UNDER CYCLIC LOADS UNTIL IT REACHED A CRITICAL SIZE AND RUPTURED. SITE CLEAN UP IS COMPLETED AND THE LEAK SITE HAS OFFICIALLY BEEN CLOSED BY THE ENVIRONMENTAL HEALTH SECTION OF THE NORTH DAKOTA DEPARTMENT OF HEALTH.  APPROXIMATELY 4760 CUBIC YARDS OF CONTAMINATED SOIL WERE DISPOSED OF AT AN APPROVED LAND FILL."
20100022	"4/6/2010"	"SUNOCO PIPELINE L.P."	"NO"	32.48248	-94.8391	"THE SPILL WAS A RESULT OF A 3/4 inch RELIEF VALVE DISCHARGE LINE.  THE RELIEF VALVE DISCHARGED INTO A 3/4 inch LINE THAT WENT UNDERGROUND TO A 3/4 inch BRANCH TEE.  THE TEE WAS PLUGGED ON ONE SIDE AND THE OTHER SIDE WENT TO A 2 inch DRAIN SYSTEM THAT RELIEVES DIRECTLY INTO THE TANK AT TEXOMA.  THE PIPE ENTERING INTO THE BRANCH OF THE TEE  BROKE DUE TO SOIL STRESS.  THE AREA HAD BEEN EXCAVATED IN JANUARY 2008 DURING RE-PIPING WORK AND THE SETTLING OF THE SOIL SINCE THEN CAUSED UNDUE STRESS ON THE CONNECTION.  THE RELIEF VALVE AND PIPING WERE REPLACED. RE-SUBMITTED ON 3/27/2013 TO INCLUDE PART E5F PER PHMSA REQUEST."
20100023	"4/6/2010"	"SUNOCO PIPELINE L.P."	"NO"	32.06839	-96.47081	"CONTRACTOR WORKING FOR OPERATOR NOTIFIED THE STATION OPERATOR OF POSSIBLE LEAK.  THE #5-10inchTANK FILL LINE WAS ISOLATED SINCE IT WAS THE ONLY ACTIVE LINE IN THE AREA.  A PINHOLE LEAK WAS FOUND IN THE 3 O'CLOCK POSITION ON A BUTT WELD.  INADEQUATE PENETRATION ON ORIGINAL CONSTRUCTION APPEARS TO BE THE CAUSE. RE-SUBMITTED TO INCLUDE PART E5F PER PHMSA REQUEST."
20100024	"4/7/2010"	"CONOCOPHILLIPS"	"NO"	29.71478	-95.17611	"TANK 1501 WAS FOUND LEAKING PRODUCT FROM THE ROOF WATER DRAW VALVE.  INITIALLY, IT WAS THOUGH THE ROOF HAD A PINHOLE LEAKING PRODUCT ON TOP OF IT.  THE WATER DRAW VALVE WAS CLOSED AND THE LEAK STOPPED.  UPON FURTHER INVESTIGATION, NO FURTHER PRODUCT WAS FOUND ON TOP OF THE ROOF. THE ORIGINATION OF THE LEAK WAS FOUND TO BE AROUND ONE OF THE LEGS OF THE EFR.  PRODUCT SLOWLY PROPAGATED ONTO THE TOP OF THE EXTERNAL FLOATING ROOF OF THE TANK AND MIGRATED DOWN THE ROOF DRAIN INTO THE DIKE AREA WHERE IT WAS DISCOVERED. AIR WAS LEFT IN THE SYSTEM AFTER A MAINTENANCE ACTIVITY, NOT BECAUSE OF OPERATOR ERROR, BUT BECAUSE OF THE PIPING DESIGN.  AIR WAS TRAPPED THAT WAS IMPOSSIBLE TO BLEED OFF.  THEREFORE, AN OPERATING PROCEDURE WAS DEVELOPED TO ACCOUNT FOR THE TRAPPED AIR AND TAKE IT TO A NON-FLOATING ROOF TANK SO PRODUCT WILL NOT ESCAPE ON TO THE ROOF.  UPDATED PER BLAINE KEENER E-MAIL DUE TO CHANGES IN PHMSA REPORTING FORM."
20100025	"4/7/2010"	"SHELL PIPELINE CO., L.P."	"NO"	30.1724	-90.782	"THE RELEASE WAS DUE TO ICE THAT FORMED IN A 1.5 INCH GLOBE VALVE.  THE ICE FORMED DUE TO UNUSUALLY COLD AMBIENT TEMPERATURES.  THE VALVE WAS LOCATED ON A DEHYDRATION UNIT AND WAS PART OF THE WATER DRAIN SYSTEM.  WHEN THE VALVE WAS LAST CLOSED, THE PRESENCE OF THE ICE ALLOWED THE VALVE TO SEAL.  DURING THE REGENERATION CYCLE OF THE DEHYDRATION UNIT, THE TEMPERATURE INCREASED AND MELTED THE ICE.  WITH THE ICE MELTED, THERE WAS NO LONGER A SEAL AND PROPYLENE WAS RELEASED THROUGH THE VALVE. 3/13/2013 - UPDATED PER PHMSA REQUEST."
20100026	"4/7/2010"	"CONOCOPHILLIPS"	"YES"	35.94466	-96.75427	"TANK 824 WATER DRAIN WAS LEAKING CRUDE.  DUE TO EXTREME TEMPERATURES IN THE AREA, IT IS BELIEVED THE ROOF WATER DRAIN PIPING FROZE AND COMPROMISED THE DRAIN PIPING INTEGRITY.  WHEN T824 WAS FILLED WITH CRUDE, THE FROZEN COMPONETS THAWED ALLOWING PRODUCT TO EXIT THE TANK VIA THE DRAIN PIPING. AS OF 4-7-2010, T824 IS STILL IN SERVICE.  ONCE REMOVED FROM SERVICE, THE EXACT CAUSE CAN BE DETERMINED. AS OF 5-25-2010, T824 HAD BEEN TAKEN OUT OF SERVICE AND CLEANED.  IT WAS DETERMINED THAT THE ROOF DRAIN HOSE INTEGRITY HAD BEEN COMPROMISED IN 2 LOCATIONS DUE TO ICE EXPANSION. UPDATED PER BLAINE KEENER E-MAIL DUE TO CHANGES IN PHMSA REPORTING FORM."
20100027	"4/7/2010"	"CONOCOPHILLIPS"	"NO"	35.68463	-101.35898	"PRESSURE SAFETY DEVICE ON RECEIVER BARREL USED TO PREVENT OPENING OF THE BARREL UNDER PRESSURE WAS NOT RE-INSTALLED PROPERLY BEFORE TRAP WAS RECOMMISSIONED. INDIVIDUAL IN QUESTION WAS DRUG AND ALCOHOL TESTED AS WELL AS REQUALIFIED PER THE OQ REQUIREMENTS. UPDATED PER BLAINE KEENER E-MAIL DUE TO CHANGES IN PHMSA REPORTING FORM."
20100028	"4/8/2010"	"CHEVRON PRODUCTS COMPANY"	"YES"	38.1337	-85.5012	"ON 4-7-2010 AT APPROXIMATELY 1:46 PM OPERATOR ON DUTY HEARD A LOUD BANG FROM THE UPS PUMPING AREA. HE STARTED TO INVESTIGATE AND NOTICED THAT A FIRE HAD STARTED AT THE PUMP, SO HE IMMEDIATELY HIT OUR EMERGENCY SHUTDOWN SWITCH, NOTIFIED ALL PERSONNEL ON SITE EVACUATE THE TERMINAL AND CALLED 911. FIRE DEPARTMENT ARRIVED ON SITE WITHIN 10 MINUTES AND HAD THE FIRE UNDER CONTROL AND OUT WITHIN ANOTHER 10 MINUTES. FIRE DEPARTMENT ESTIMATED THAT LESS THAN 200 GALLONS OF JET FUEL BURNED DURING THE FIRE. THERE WERE NO INJURIES AND THE ENVIRONMENT OR PUBLIC WAS NOT IMPACTED. THE CAUSE OF THE FIRE ENDED UP BEING THAT THE OILER ON THE SIDE OF THE PUMP MOTOR LOOKED AS IF IT HAD PLENTY OF OIL WHEN IT ACTUALLY WAS NOT GOING INTO THE PUMP MOTOR. IT WAS DISCOVERED THE CONTRACTOR HAD ADDED A 45 DEGREE ANGLE PIPE ON THE OILER AND THIS CAUSE A CLOG IN THE PIPE WHICH RESTRICTED THE FLOW OF OIL."
